tag	#OOVs	#IVs	#words	ratio
BUT	0	1	1	0.0
HAP	1	0	1	1.0
SST	0	1	1	0.0
QUV	0	1	1	0.0
DEC	0	2	2	0.0
SCO	1	1	2	0.5
ITJ	2	0	2	1.0
LIT	3	0	3	1.0
GRE	3	0	3	1.0
NTH	3	0	3	1.0
IMP	4	0	4	1.0
ART	4	0	4	1.0
PRG	0	4	4	0.0
GRP	0	4	4	0.0
EFS	0	5	5	0.0
PFT	0	7	7	0.0
DEG	0	9	9	0.0
GEO	9	0	9	1.0
SUB	1	11	12	0.08333333333333333
NEC	0	14	14	0.0
GPO	14	0	14	1.0
DOM	0	14	14	0.0
DOW	14	0	14	1.0
APX	5	11	16	0.3125
MOY	18	0	18	1.0
REF	0	18	18	0.0
EQU	0	20	20	0.0
DST	10	10	20	0.5
EMP	20	1	21	0.9523809523809523
COL	0	21	21	0.0
COO	0	21	21	0.0
YOC	0	29	29	0.0
ORG	31	0	31	1.0
QUE	7	35	42	0.16666666666666666
EXT	0	46	46	0.0
FUT	2	46	48	0.041666666666666664
CLO	20	29	49	0.40816326530612246
POS	9	46	55	0.16363636363636364
PRX	35	24	59	0.5932203389830508
GPE	65	0	65	1.0
ALT	10	70	80	0.125
UOM	1	93	94	0.010638297872340425
AND	68	40	108	0.6296296296296297
QUC	30	114	144	0.20833333333333334
ROL	21	137	158	0.13291139240506328
EXG	0	183	183	0.0
PST	2	194	196	0.01020408163265306
NOT	37	168	205	0.18048780487804877
HAS	52	184	236	0.22033898305084745
IST	40	268	308	0.12987012987012986
EXS	16	316	332	0.04819277108433735
ENS	0	340	340	0.0
DIS	27	328	355	0.07605633802816901
NOW	22	479	501	0.043912175648702596
DEF	248	376	624	0.3974358974358974
PER	695	0	695	1.0
REL	5	694	699	0.00715307582260372
EPS	5	954	959	0.005213764337851929
PRO	878	267	1145	0.7668122270742358
CON	228	1260	1488	0.1532258064516129
NIL	19	2083	2102	0.009039010466222646
